"","running_number","season","autumn_winter","location","sex","num_prey","fork_length_residuals","condition_scaled","gene1","gene2","sea_age","place_of_origin"
"1",1,"92/93","autumn","location16","male",2,13.4410256410372,0.80051421455725,0.77969973577338,-0.137307103507625,"MSW","Southern_Norway"
"2",2,"92/93","autumn","location16","female",0,-9.55897435897209,0.227160003684016,0.77969973577338,-0.137307103507625,"MSW","Southern_Norway"
"3",3,"92/93","autumn","location20","female",20,-6.55897435897437,1.00005974743717,0.77969973577338,1.13590421992672,"MSW","England_Ireland"
"4",4,"92/93","autumn","location20","male",0,-8.55897435897437,-0.592118706116006,-0.614477648907116,-0.137307103507625,"MSW","Southern_Norway"
"5",5,"92/93","autumn","location20","female",0,-10.5589743589744,1.37030029217264,0.77969973577338,1.13590421992672,"MSW","England_Ireland"
"6",6,"92/93","autumn","location15","female",2,13.4410256410256,-0.0256135297849934,0.77969973577338,-0.137307103507625,"MSW","Southern_Norway"
"7",7,"92/93","autumn","location15","female",0,-5.55897435897437,0.635313474023077,0.77969973577338,-0.137307103507625,"MSW","Southern_Norway"
"8",8,"92/93","autumn","location15","female",0,-12.5589743589744,0.270130562948418,-0.614477648907116,-0.137307103507625,"MSW","England_Ireland"
"9",9,"92/93","autumn","location15","female",8,9.44102564102563,0.507204263809259,0.77969973577338,-0.137307103507625,"MSW","Southern_Norway"
"10",10,"92/93","autumn","location18","female",112,-4.55897435897437,1.50622393794544,-2.00865503358761,-0.137307103507625,"MSW","England_Ireland"
"11",11,"92/93","autumn","location18","female",64,-8.55897435897437,2.50392544254178,-0.614477648907116,-1.41051842694197,"MSW","England_Ireland"
"12",12,"92/93","autumn","location18","female",10,-4.04242424242424,0.483643298919096,-0.614477648907116,-1.41051842694197,"1SW","England_Ireland"
"13",13,"92/93","autumn","location18","male",60,-6.04242424242424,1.68751923116371,-2.00865503358761,-0.137307103507625,"1SW","England_Ireland"
"14",14,"92/93","autumn","location9","female",0,-11.5589743589744,-0.0945910060726453,0.77969973577338,1.13590421992672,"MSW","Southern_Norway"
"15",15,"92/93","autumn","location9","female",0,-10.5589743589744,-0.724501463766468,0.77969973577338,-1.41051842694197,"MSW","Southern_Norway"
"17",17,"92/93","autumn","location5","male",64,-4.55897435897437,0.887335430839739,-2.00865503358761,-1.41051842694197,"MSW","England_Ireland"
"18",18,"92/93","autumn","location5","female",0,-1.04242424242424,1.04758334785821,0.77969973577338,-1.41051842694197,"1SW","England_Ireland"
"19",19,"92/93","autumn","location5","male",25,-25.5589743589744,0.143507602902838,0.77969973577338,-0.137307103507625,"MSW","England_Ireland"
"20",20,"92/93","autumn","location5","female",146,2.95757575757576,-0.303468593585574,-2.00865503358761,1.13590421992672,"1SW","England_Ireland"
"21",21,"92/93","autumn","location5","male",0,-14.5589743589744,-1.45488959434565,0.77969973577338,-0.137307103507625,"MSW","Southern_Norway"
"22",22,"92/93","autumn","location5","male",20,-8.55897435897437,-0.828257666606859,-0.614477648907116,-0.137307103507625,"MSW","England_Ireland"
"23",23,"92/93","autumn","location5","male",1,-6.55897435897437,-0.539291506208333,-0.614477648907116,-1.41051842694197,"MSW","England_Ireland"
"24",24,"92/93","autumn","location5","male",17,-11.5589743589744,-0.935734010169791,0.77969973577338,-1.41051842694197,"MSW","Southern_Norway"
"25",25,"92/93","autumn","location5","female",0,-9.55897435897437,0.227160003684016,0.77969973577338,-0.137307103507625,"MSW","Southern_Norway"
"26",26,"92/93","autumn","location5","female",0,-14.5589743589744,0.102830136971285,0.77969973577338,1.13590421992672,"MSW","Northern_reporting_groups"
"27",27,"92/93","autumn","location5","female",1,-3.55897435897437,0.537013991379816,-0.614477648907116,1.13590421992672,"MSW","Southern_Norway"
"28",28,"92/93","autumn","location5","female",7,-4.55897435897437,0.290550084702127,-0.614477648907116,-1.41051842694197,"MSW","England_Ireland"
"29",29,"92/93","autumn","location5","male",0,-9.55897435897437,0.720901890984361,-2.00865503358761,-0.137307103507625,"MSW","England_Ireland"
"30",30,"92/93","autumn","location5","female",0,-1.55897435897437,1.14273480344638,-2.00865503358761,-1.41051842694197,"MSW","England_Ireland"
"31",31,"92/93","autumn","location5","male",0,-6.55897435897437,-0.972234046296144,0.77969973577338,-0.137307103507625,"MSW","England_Ireland"
"32",32,"92/93","autumn","location5","male",0,2.44102564102563,-0.141541766318741,0.77969973577338,1.13590421992672,"MSW","Southern_Norway"
"33",33,"92/93","autumn","location5","male",0,-3.55897435897437,-0.0355803602170698,0.77969973577338,1.13590421992672,"MSW","Southern_Norway"
"34",34,"92/93","autumn","location5","male",0,-10.5589743589744,-0.179279088933,0.77969973577338,1.13590421992672,"MSW","Southern_Norway"
"35",35,"92/93","autumn","location5","female",0,-3.04242424242424,-0.0420637024240471,0.77969973577338,1.13590421992672,"1SW","England_Ireland"
"36",36,"92/93","autumn","location5","female",2,-6.55897435897437,1.00005974743717,-2.00865503358761,-1.41051842694197,"MSW","England_Ireland"
"37",37,"92/93","autumn","location5","female",0,-2.04242424242424,-0.523978317255446,0.77969973577338,-0.137307103507625,"1SW","Southern_Norway"
"38",38,"92/93","autumn","location5","female",0,-0.0424242424242442,-0.111538105732873,0.77969973577338,1.13590421992672,"1SW","Southern_Norway"
"39",39,"92/93","autumn","location5","female",0,-0.0424242424242442,-0.742649680204876,-2.00865503358761,-1.41051842694197,"1SW","England_Ireland"
"40",40,"92/93","autumn","location5","female",0,-2.04242424242424,-0.523978317255446,-0.614477648907116,-0.137307103507625,"1SW","England_Ireland"
